№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
184,10,9,8,8,9,10,7,7,10,"расписание стабильное, обратная связь ясная. уведомления приходят оперативно, логистика понятная, в итоге примеры привязаны к реальным процессам.",ru,long,positive
185,10,10,10,8,9,10,10,10,10,"чувствуется опыт и вовлеченность преподавателей, при этом примеры привязаны к реальным процессам.",ru,medium,positive
186,8,8,8,8,8,7,7,8,9,"техника настроена, оборудование доступны. учиться комфортно, впечатления положительные, кроме того примеры привязаны к реальным процессам!",ru,long,positive
187,7,10,10,10,10,7,10,9,10,"методички структурированы, поиск по темам простой, можно усилить усилить практику и разбор кейсов!",ru,medium,positive
188,6,7,5,7,6,6,7,7,8,"жалпы қалыпты, айта кетсек жобалар пайдалы, дұрыс болар практиканы және мысалдарды күшейту",kz,medium,neutral
189,9,8,9,6,7,8,6,6,8,"поддерживают на консультациях, комментарии приходят часто быстро.",ru,medium,positive
190,6,8,8,5,9,6,8,7,7,"ерекше ескертулер жоқ. ерекше ескертулер жоқ, айта кетсек кеңес алу оңай, кейде кеңес алу оңай…",kz,long,neutral
191,1,2,1,2,2,4,3,4,1,"кейсов мало, хотелось бы больше реальных ситуаций. мотивирует меньше, чем рассчитывал, кроме того проекты и задачи помогают закреплять.",ru,long,negative
192,8,7,9,7,8,8,9,8,7,"презентациялар мен мысалдар уақытында беріледі, дұрыс болар практиканы және мысалдарды күшейту.",kz,medium,positive
193,10,10,8,10,9,10,9,9,10,"уведомления приходят без задержек, логистика понятная, было бы полезно усилить практику и разбор кейсов.",ru,medium,positive
194,3,5,4,4,3,2,3,3,3,"ерекше ескертулер жоқ, жалпы алғанда мысалдар нақты жағдайлардан…",kz,medium,neutral
195,4,2,3,2,3,3,1,2,1,оборудование местами устарело для текущих задач…,ru,short,negative
196,9,7,9,8,7,9,8,8,10,"тәжірибе барысында жағдайлар беріледі, қолданбалы байланыс сезіледі.",kz,medium,positive
197,8,9,8,7,9,8,7,7,9,презентациялар мен мысалдар дер кезінде беріледі.,mixed,short,positive
198,7,7,7,8,7,8,7,7,7,"кестеде өзгерістер болып тұрады, кейде кеңес алу оңай",kz,medium,neutral
199,9,9,10,10,10,9,6,9,7,"уведомления приходят без задержек, логистика понятная, при этом консультации доступны по расписанию.",ru,medium,positive
